name_song,freq,artist_key,name_song,url_song,duration
Aaj Kal Zindagi,7,https://www.youtube.com/channel/UCD1yqtH3tB9pstyoJFpHl_w,Aaj Kal Zindagi,https://music.youtube.com/watch?v=DGTlOQLQApw,4.25
Aaj Na,6,https://www.youtube.com/channel/UCLEO1vIrNARN4bvojv8d5gA,Aaj Na,https://music.youtube.com/watch?v=fviMiqTR6Bk,3.2333333333333334
Aankhon Se Batana,11,https://www.youtube.com/channel/UCqi8wo4jjf6xWEHJhHzRs0A,Aankhon Se Batana,https://music.youtube.com/watch?v=K8P4_3NZsKs,3.7
Aao Chalein,3,https://www.youtube.com/channel/UCMQS3w1nGv8HliTTyp3Szkw,Aao Chalein,https://music.youtube.com/watch?v=5uBlLI1a_lA,3.1
Aaoge Tum Kabhi,1,https://www.youtube.com/channel/UCwXvxgmYjgO1PKBCXdufT4Q,Aaoge Tum Kabhi,https://music.youtube.com/watch?v=wuW2IiPqLhI,5.233333333333333
Aas Paas Khuda,1,https://www.youtube.com/channel/UC6GVOwH-1pughw5WYmjAolg,Aas Paas Khuda,https://music.youtube.com/watch?v=yDWOp8ur90Q,5.333333333333333
Aashiyan,1,https://www.youtube.com/channel/UCCTN01plFzn4npREHKT2_9Q,Aashiyan,https://music.youtube.com/watch?v=WxXbLnBq0n0,3.95
Aayat,1,https://www.youtube.com/channel/UCDxKh1gFWeYsqePvgVzmPoQ,Aayat,https://music.youtube.com/watch?v=74nPCMebpYg,4.366666666666666
Aazaadiyan - Pairon Ki Bediyan,1,https://www.youtube.com/channel/UC19pnd-F7tw6vDhkmEiAkgA,Aazaadiyan - Pairon Ki Bediyan,https://music.youtube.com/watch?v=ugm2SOScEqA,5.633333333333333
Ab To Forever,2,https://www.youtube.com/channel/UCeBxx7m7yrwSyvpVpKcMI8w,Ab To Forever,https://music.youtube.com/watch?v=TZ7TVaYoDeA,5.033333333333333
Abhi Abhi,1,https://www.youtube.com/channel/UCeBxx7m7yrwSyvpVpKcMI8w,Abhi Abhi,https://music.youtube.com/watch?v=zg32jRaA8fg,5.716666666666667
Abhi Kuch Dino Se,15,https://www.youtube.com/channel/UCPexK6Vq8vDGf_ldYFFbnIg,Abhi Kuch Dino Se,https://music.youtube.com/watch?v=DEatLVqGuTo,4.766666666666667
About You,16,https://www.youtube.com/channel/UCNrTdctAV0JMT7RBQvpA5lw,About You,https://music.youtube.com/watch?v=EdmpLGERRvQ,5.45
"About You (Live from Madison Square Garden, New York, 07.11.22)",1,https://www.youtube.com/channel/UCNrTdctAV0JMT7RBQvpA5lw,"About You (Live from Madison Square Garden, New York, 07.11.22)",https://music.youtube.com/watch?v=7ZvbA2UWmNg,5.466666666666667
Above The Chinese Restaurant,1,https://www.youtube.com/channel/UCJtROTPxo3qnEzww8JyDxuA,Above The Chinese Restaurant,https://music.youtube.com/watch?v=yjA_CmtR6Ts,3.7333333333333334
Acid,1,https://www.youtube.com/channel/UCTCaKX_yUM-e4j4E78SMIuw,Acid,https://music.youtube.com/watch?v=aUqF03xCoOo,5.916666666666667
Act My Age,2,https://www.youtube.com/channel/UCREhun2tPd7aQnJczZM_Mww,Act My Age,https://music.youtube.com/watch?v=yn6H_9HLnnA,3.3166666666666664
Ada,1,https://www.youtube.com/channel/UCsC4u-BJAd4OX1hJXtwXSOQ,Ada,https://music.youtube.com/watch?v=N9IGKvBgTO8,4.783333333333333
Admirin' You (Official Video) Karan Aujla | Ikky | Making Memories | Latest Punjabi Songs 2023,1,https://www.youtube.com/channel/UC3XBkDeCVXCoCofFgfUZXGw,Admirin' You (Official Video) Karan Aujla | Ikky | Making Memories | Latest Punjabi Songs 2023,https://music.youtube.com/watch?v=k85UB5b6pJU,3.5166666666666666
Adore You,8,https://www.youtube.com/channel/UCVacQ2t5GUZ2t_J3Ia9BynA,Adore You,https://music.youtube.com/watch?v=vum2bUJwfkI,3.466666666666667
Ae Dil Hai Mushkil Title Track,1,https://www.youtube.com/channel/UCDxKh1gFWeYsqePvgVzmPoQ,Ae Dil Hai Mushkil Title Track,https://music.youtube.com/watch?v=OBTzqobhFjQ,4.5
Afeemi,1,https://www.youtube.com/channel/UClTu6nYJV1vWPDSav5twrUw,Afeemi,https://music.youtube.com/watch?v=8frsQNxGLR0,4.166666666666667
Afraid of Heights,1,https://www.youtube.com/channel/UCxMaQtHvN4Jw5kYfo8Bi5fw,Afraid of Heights,https://music.youtube.com/watch?v=gq4DNohIqaA,2.7
Afterglow,7,https://www.youtube.com/channel/UCPC0L1d253x-KuMNwa05TpA,Afterglow,https://music.youtube.com/watch?v=oNiyHQhYqTc,3.7333333333333334
Agar Tum Mil Gaye,1,https://www.youtube.com/channel/UCI9CjX86WgodaZGrvAUKNgA,Agar Tum Mil Gaye,https://music.youtube.com/watch?v=2cZ4WE5BVW8,3.6333333333333333
Aisa Kyun Hota Hai,1,https://www.youtube.com/channel/UCptBkLZ6XRxoyn8SkUMc_Iw,Aisa Kyun Hota Hai,https://music.youtube.com/watch?v=cSiXsBwWNuM,4.9
Aise Kyun,2,https://www.youtube.com/channel/UCS230lsyEBVrTBaljR5D-Pw,Aise Kyun,https://music.youtube.com/watch?v=Yg3GQemWXgc,4.416666666666667
Aise Kyun (Ghazal Version),1,https://www.youtube.com/channel/UCXQ1CRi8ytBkk5Orwe5mslw,Aise Kyun (Ghazal Version),https://music.youtube.com/watch?v=bkmeQfvSmYg,5.5
Ajab Si,2,https://www.youtube.com/channel/UCeBxx7m7yrwSyvpVpKcMI8w,Ajab Si,https://music.youtube.com/watch?v=bdS6OoH1W2A,4.033333333333333
Ajj Din Chadheya,1,https://www.youtube.com/channel/UC6GVOwH-1pughw5WYmjAolg,Ajj Din Chadheya,https://music.youtube.com/watch?v=Z1hUfzTZS04,5.266666666666667
"Ajnabi (feat. Abhay Jodhpurkar, Poorvi Koutish)",1,https://www.youtube.com/channel/UC19pnd-F7tw6vDhkmEiAkgA,"Ajnabi (feat. Abhay Jodhpurkar, Poorvi Koutish)",https://music.youtube.com/watch?v=6VZAILGsQMk,3.8166666666666664
Akhiyaan,5,https://www.youtube.com/channel/UCroOD1yPBDSEqFLejRB-Gbw,Akhiyaan,https://music.youtube.com/watch?v=T35uru7JCIo,3.2
Akhiyaan (Acoustic),3,https://www.youtube.com/channel/UCroOD1yPBDSEqFLejRB-Gbw,Akhiyaan (Acoustic),https://music.youtube.com/watch?v=yJt2toIQDBM,2.7
Alag Aasmaan,8,https://www.youtube.com/channel/UCo36OSM_dp0KynQ02zibnsQ,Alag Aasmaan,https://music.youtube.com/watch?v=zoUagacsu9s,3.55
Alag Aasmaan (Acoustic),3,https://www.youtube.com/channel/UCo36OSM_dp0KynQ02zibnsQ,Alag Aasmaan (Acoustic),https://music.youtube.com/watch?v=_UCd8ZV3NXM,3.533333333333333
All 4 Nothing (I'm So In Love),1,https://www.youtube.com/channel/UCWjoDY2SXJ5dvcdunWI6mjQ,All 4 Nothing (I'm So In Love),https://music.youtube.com/watch?v=Ahm7myXatco,3.066666666666667
All Around Me,1,https://www.youtube.com/channel/UCGvj8kfUV5Q6lzECIrGY19g,All Around Me,https://music.youtube.com/watch?v=sbC2p3jZ3hs,2.283333333333333
All I Need,2,https://www.youtube.com/channel/UCO_sphdxl8_K6mfXzzmkDGQ,All I Need,https://music.youtube.com/watch?v=KOw1CrvHuUM,2.5666666666666664
All I Need To Hear,1,https://www.youtube.com/channel/UCNrTdctAV0JMT7RBQvpA5lw,All I Need To Hear,https://music.youtube.com/watch?v=OBHSfgAoNV8,3.5166666666666666
All I Want,4,https://www.youtube.com/channel/UC0cymQddFci7e31o7EIznYw,All I Want,https://music.youtube.com/watch?v=3AUtk1wJJBc,5.1
"All I Want (From ""High School Musical: The Musical: The Series"")",3,https://www.youtube.com/channel/UCE5XNpliPM-SmyFEp61tL_g,"All I Want (From ""High School Musical: The Musical: The Series"")",https://music.youtube.com/watch?v=2ax8CCHoHM4,2.966666666666667
All I Want for Christmas Is You,3,https://www.youtube.com/channel/UCKRnq8aBOCanYlffje7HyvA,All I Want for Christmas Is You,https://music.youtube.com/watch?v=fRyhqobl0sk,4.033333333333333
All My Love,3,https://www.youtube.com/channel/UCwGXlFP4Ba5do7KoxRJYgVQ,All My Love,https://music.youtube.com/watch?v=nJAiOSN5bnQ,4.2
All Night,1,https://www.youtube.com/channel/UCKw92ZnXdnatnKhQ9TtYtlw,All Night,https://music.youtube.com/watch?v=Js_0SBr1orI,3.3
All Night Long (All Night),1,https://www.youtube.com/channel/UCqBNd0XhYrv8OFlyr4fufdA,All Night Long (All Night),https://music.youtube.com/watch?v=FKFHHS4RQW0,6.4
All Of The Girls You Loved Before,12,https://www.youtube.com/channel/UCPC0L1d253x-KuMNwa05TpA,All Of The Girls You Loved Before,https://music.youtube.com/watch?v=HO-31CVnLes,3.7
All This Time,4,https://www.youtube.com/channel/UCpe3TthvXb8kmRiFbkeDGCQ,All This Time,https://music.youtube.com/watch?v=Yp3Pjw4eCCU,2.9333333333333336
All Too Well,3,https://www.youtube.com/channel/UCPC0L1d253x-KuMNwa05TpA,All Too Well,https://music.youtube.com/watch?v=F8Jxo15Vfic,5.5
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),15,https://www.youtube.com/channel/UCPC0L1d253x-KuMNwa05TpA,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),https://music.youtube.com/watch?v=7SqC7_f_-0M,10.216666666666667
