,name_vid,url_vid,duration,freq,channel_key
https://www.youtube.com/watch?v=8JYP_wU1JTU,"Introduction to economics | Supply, demand, and market equilibrium | Economics | Khan Academy",https://www.youtube.com/watch?v=8JYP_wU1JTU,9.983333333333333,3,https://www.youtube.com/channel/UC4a-Gbdw7vOaccHmFo40b9g
https://www.youtube.com/watch?v=i40oXOjETAM,BEST MOMENTS MODERN FAMILY - Part 1,https://www.youtube.com/watch?v=i40oXOjETAM,9.466666666666667,1,https://www.youtube.com/channel/UCNcVZnrAoWo6QzqP8nbnYOA
https://www.youtube.com/watch?v=5DTWf8ZuOeg,Modern Family Funniest Moments #2,https://www.youtube.com/watch?v=5DTWf8ZuOeg,11.683333333333334,1,https://www.youtube.com/channel/UCNcVZnrAoWo6QzqP8nbnYOA
https://www.youtube.com/watch?v=uGQjdsbXvdo,INDIAN STUDENTS ARE SAVAGE pt 2,https://www.youtube.com/watch?v=uGQjdsbXvdo,13.066666666666666,1,https://www.youtube.com/channel/UC0rE2qq81of4fojo-KhO5rg
https://www.youtube.com/watch?v=egBNoEc_Q30,$4000 NYC apartment #shorts #nyc,https://www.youtube.com/watch?v=egBNoEc_Q30,0.9666666666666667,1,https://www.youtube.com/channel/UCOrE6g6E4HwdUWaZeITOAaQ
https://www.youtube.com/watch?v=yrZDn1fwgKE,Using Math to Find When Your Dad is Coming Back with the Milk,https://www.youtube.com/watch?v=yrZDn1fwgKE,3.45,1,https://www.youtube.com/channel/UCamjnFmK1_lsTWJGWzkC8ew
https://www.youtube.com/watch?v=4A8Fjgg8FXc,"RECORD BREAKING Thali in Pune, India!!! (Matt Stonie Has NO Chance)",https://www.youtube.com/watch?v=4A8Fjgg8FXc,11.783333333333333,1,https://www.youtube.com/channel/UCcAd5Np7fO8SeejB1FVKcYw
https://www.youtube.com/watch?v=NBHZBWIbkgM,"Aubrey Anderson Emmons on Growing Up in ""Modern Family""",https://www.youtube.com/watch?v=NBHZBWIbkgM,3.716666666666667,1,https://www.youtube.com/channel/UCinjnmQEwCddOudyCC1v7qA
https://www.youtube.com/watch?v=CWi9abJ89cE,"Trying Indian Street Food For The First Time! (Gulab Jamun, Panipuri, Bhel Puri, Aloo Tikki)",https://www.youtube.com/watch?v=CWi9abJ89cE,9.3,1,https://www.youtube.com/channel/UCHEf6T_gVq4tlW5i91ESiWg
https://www.youtube.com/watch?v=KtyPxdNhkLY,"Americans Try Indian Street Food For The First Time! (Pav Bhaji, Dahi Puri, Jalebi)",https://www.youtube.com/watch?v=KtyPxdNhkLY,12.133333333333333,1,https://www.youtube.com/channel/UCHEf6T_gVq4tlW5i91ESiWg
https://www.youtube.com/watch?v=mbxxfVz8xBk,Michelin Star Indian take-out is the best thing,https://www.youtube.com/watch?v=mbxxfVz8xBk,10.85,1,https://www.youtube.com/channel/UCOgGAfSUy5LvEyVS_LF5kdw
