,name,url,freq
https://www.youtube.com/channel/UClmXPfaYhXOYsNn_QUyheWQ,Ed Sheeran - Topic,https://www.youtube.com/channel/UClmXPfaYhXOYsNn_QUyheWQ,62
https://www.youtube.com/channel/UCHIqmk90GKurdVSG5cf-sFQ,Lord Huron - Topic,https://www.youtube.com/channel/UCHIqmk90GKurdVSG5cf-sFQ,27
https://www.youtube.com/channel/UCrrbm1toLPud8fFIisPuxpg,OneRepublic - Topic,https://www.youtube.com/channel/UCrrbm1toLPud8fFIisPuxpg,13
https://www.youtube.com/channel/UCREhun2tPd7aQnJczZM_Mww,One Direction - Topic,https://www.youtube.com/channel/UCREhun2tPd7aQnJczZM_Mww,96
https://www.youtube.com/channel/UCaQZn0FaMLJrImJIJqw3zvQ,Phillip Phillips - Topic,https://www.youtube.com/channel/UCaQZn0FaMLJrImJIJqw3zvQ,4
https://www.youtube.com/channel/UCxm9sS8Dd2aRthr_O3rVLJQ,Niall Horan - Topic,https://www.youtube.com/channel/UCxm9sS8Dd2aRthr_O3rVLJQ,83
https://www.youtube.com/channel/UCNAbUat5xDtp6FeBphe2V_Q,James Arthur - Topic,https://www.youtube.com/channel/UCNAbUat5xDtp6FeBphe2V_Q,3
https://www.youtube.com/channel/UCGvj8kfUV5Q6lzECIrGY19g,Justin Bieber - Topic,https://www.youtube.com/channel/UCGvj8kfUV5Q6lzECIrGY19g,18
https://www.youtube.com/channel/UCdFe4KkWwZ_twpo-UECR-Nw,Maroon 5 - Topic,https://www.youtube.com/channel/UCdFe4KkWwZ_twpo-UECR-Nw,3
https://www.youtube.com/channel/UC0cymQddFci7e31o7EIznYw,Kodaline - Topic,https://www.youtube.com/channel/UC0cymQddFci7e31o7EIznYw,12
https://www.youtube.com/channel/UCMcghb8JhNIYntWea9QKFGA,The Lumineers - Topic,https://www.youtube.com/channel/UCMcghb8JhNIYntWea9QKFGA,11
https://www.youtube.com/channel/UCiDBtu8whAdUgiJ5o1g7sQQ,James Bay - Topic,https://www.youtube.com/channel/UCiDBtu8whAdUgiJ5o1g7sQQ,3
https://www.youtube.com/channel/UCVacQ2t5GUZ2t_J3Ia9BynA,Harry Styles - Topic,https://www.youtube.com/channel/UCVacQ2t5GUZ2t_J3Ia9BynA,218
https://www.youtube.com/channel/UCIaFw5VBEK8qaW6nRpx_qnw,Coldplay - Topic,https://www.youtube.com/channel/UCIaFw5VBEK8qaW6nRpx_qnw,25
https://www.youtube.com/channel/UCWjoDY2SXJ5dvcdunWI6mjQ,Lauv - Topic,https://www.youtube.com/channel/UCWjoDY2SXJ5dvcdunWI6mjQ,36
https://www.youtube.com/channel/UCyqq-aiu3vEHuf5NhwmOJcw,Lana Del Rey - Topic,https://www.youtube.com/channel/UCyqq-aiu3vEHuf5NhwmOJcw,65
